CustomerID,Revenue,Quantity,NumPurchases,Cluster
1000,8050.631721553318,78,31,0
1001,3918.1437561979524,42,18,2
1002,2988.7548446462483,42,17,2
1003,8690.156052483766,74,26,3
1004,6257.447928156105,55,21,1
1005,6248.166993597485,58,23,1
1006,6584.45713369017,68,28,3
1007,6440.306889578736,65,26,3
1008,5587.474023388572,45,20,2
1009,6221.398098292216,64,24,1
1010,7394.223914884249,71,28,3
1011,7600.470216815828,76,31,3
1012,6027.398836888489,56,24,1
1013,7053.314411950635,71,27,3
1014,3808.4883876035137,36,14,2
1015,6716.968369861427,67,31,3
1016,9458.351366837816,80,31,0
1017,5733.550888213471,61,23,1
1018,9232.922068494969,94,36,0
1019,3737.16578284625,34,14,2
1020,9066.943047752098,89,31,0
1021,5796.646280561246,63,25,1
1022,6792.350952248709,57,25,1
1023,5616.522186717203,60,25,1
1024,7281.235985195725,74,30,3
1025,6115.189445218007,61,23,1
1026,4359.236550915187,53,24,1
1027,8623.196100195108,90,37,0
1028,7563.046556119069,68,24,3
1029,8606.222631345307,69,26,3
1030,3856.0408959917927,45,18,2
1031,5675.568853294457,46,20,2
1032,3812.0915245064125,36,17,2
1033,4486.837878141424,40,17,2
1034,6173.869685674766,71,27,3
1035,6098.680930756551,59,25,1
1036,6787.999038538974,59,26,3
1037,8554.308732592497,81,31,0
1038,5209.922335786855,53,22,1
1039,5324.411108760122,60,20,1
1040,7227.777020995852,63,25,3
1041,5309.681502943146,56,21,1
1042,8013.835688639594,72,26,3
1043,5114.291525668091,51,22,1
1044,7391.6842730260005,65,23,3
1045,5316.570632478548,49,23,1
1046,5511.725520925856,63,23,1
1047,5748.966161531454,47,19,2
1048,5415.356707807629,54,23,1
1049,5961.282422085766,53,22,1
1050,4520.708769163075,54,25,1
1051,5277.05097185239,50,23,1
1052,5100.256608543066,52,21,1
1053,6854.912252365227,51,19,1
1054,7007.345402757855,63,30,3
1055,5649.982984738294,57,22,1
1056,5834.57956111858,52,20,1
1057,5309.889124622829,50,19,2
1058,6975.4471160153735,58,27,3
1059,3022.015966209651,38,17,2
1060,5730.85942302585,51,20,1
1061,4190.9003122745235,52,22,2
1062,7953.721830558119,77,29,3
1063,5155.871811236525,57,23,1
1064,3702.066074733963,35,16,2
1065,8121.763003734388,70,29,3
1066,5824.160072399729,60,23,1
1067,5654.270450943361,57,24,1
1068,7032.641964437246,78,28,3
1069,5563.6344829726395,52,20,1
1070,7486.486008999051,70,29,3
1071,9094.146840824205,86,35,0
1072,6168.7235544252435,54,22,1
1073,8605.727398459254,74,28,3
1074,4102.349421824213,38,17,2
1075,6303.032662565467,57,20,1
1076,7086.1947973815095,71,28,3
1077,6622.3162244011955,55,20,1
1078,7769.432969162859,82,33,0
1079,8185.392922232663,64,22,3
1080,6415.887145723858,63,23,1
1081,9052.540813487669,92,37,0
1082,8640.890257519228,74,30,0
1083,6844.474482874645,53,22,1
1084,5930.696048227924,65,26,1
1085,7765.753788533941,66,24,3
1086,5862.515890093247,52,21,1
1087,8863.734781186382,75,29,0
1088,3589.622573617827,41,16,2
1089,8222.579969164546,67,26,3
1090,4275.216589999083,39,15,2
1091,10237.711415739155,89,34,0
1092,5039.02237509002,66,27,1
1093,6626.218558105269,54,22,1
1094,6400.613997003025,47,18,2
1095,7697.900683578881,76,27,3
1096,5204.791157376561,49,18,2
1097,6479.009274833564,68,23,1
1098,7324.301720147189,76,29,3
1099,5716.7209515759405,51,20,1
1100,8026.310656127393,71,30,3
1101,8069.607355181596,75,30,3
1102,4308.5416491235765,54,24,1
1103,7128.804316358039,66,23,3
1104,8611.76439966284,80,34,0
1105,4725.816707264125,52,23,1
1106,8063.867261845737,74,30,3
1107,6431.487733391766,62,23,1
1108,4456.687167389557,49,18,2
1109,7933.119677812104,74,27,3
1110,8404.565875747243,76,33,0
1111,8152.9243240479345,82,30,0
1112,5531.315204457996,50,21,1
1113,4539.8392430395215,52,20,2
1114,6951.05332752397,66,27,3
1115,5054.876998013044,48,19,2
1116,7983.423032482648,70,25,3
1117,5966.53813070397,77,27,3
1118,8904.710344837682,84,34,0
1119,4651.853385232567,37,18,2
1120,7639.523091414445,84,30,0
1121,6761.84787040198,62,24,1
1122,6558.082415095258,70,25,3
1123,6557.222797320365,47,21,1
1124,5281.040048458615,56,22,1
1125,8054.8684509490595,72,30,3
1126,5907.86628728618,55,21,1
1127,7399.571856672534,64,24,3
1128,6546.654288445001,57,25,1
1129,8434.021138619522,74,28,3
1130,6517.742740327462,56,22,1
1131,7402.192461497377,76,33,0
1132,8193.345779637226,67,26,3
1133,7417.805035733862,70,26,3
1134,5732.1808764212055,48,18,2
1135,7904.3697887628805,74,29,3
1136,6885.372885328089,62,23,1
1137,7685.743054474441,69,25,3
1138,9565.682109399491,82,31,0
1139,4474.563489438762,43,20,2
1140,6142.046076999911,66,26,3
1141,5271.9486942749245,59,26,1
1142,7305.3456709531565,75,28,3
1143,5566.703941465733,47,22,1
1144,5622.781767120745,46,16,2
1145,5283.937932773907,54,22,1
1146,6290.697709295736,67,26,3
1147,5711.0151220555745,61,22,1
1148,7424.497134274204,72,31,3
1149,5202.376431889057,44,18,2
1150,5897.642697630912,61,25,1
1151,7878.18849697335,71,28,3
1152,3376.0950780286853,37,15,2
1153,7195.631788280247,70,26,3
1154,8599.619655202556,72,29,3
1155,3999.547832200599,40,22,2
1156,5129.196662675238,56,20,1
1157,6816.835019719804,57,24,1
1158,4196.016262176031,45,21,2
1159,6950.258090592976,74,27,3
1160,6617.908759540863,61,30,3
1161,9083.453479005368,76,32,0
